277,10
255,2
234,2
213,12
189,26
167,34
149,50
133,73
115,94
99,125
92,140
80,163
66,187
54,209
38,236
26,260
17,279
5,302
9,306
8,336
5,363
12,389
21,417
45,436
66,440
73,424
59,390
64,355
76,389
89,420
101,416
94,372
103,341
107,315
112,284
117,264
128,243
139,216
153,187
168,156
185,135
214,117
243,111
265,110
294,112
315,126
335,144
351,162
372,179
391,200
400,209
402,234
397,263
393,285
389,306
384,340
377,361
365,377
351,391
343,411
334,440
323,465
338,478
368,474
386,452
396,433
407,434
437,451
464,459
456,423
407,365
402,311
418,282
422,275
435,309
475,375
486,344
459,275
446,221
433,165
428,119
413,83
391,43
358,16
334,5
302,9
279,26
277,51
277,79
275,103
303,125
357,172
363,223
357,218
340,215
329,212
314,211
302,217
287,223
278,228
289,227
309,222
334,222
356,224
351,257
344,252
329,251
316,247
302,247
295,250
283,257
278,261
276,265
289,260
296,261
303,263
320,262
324,261
334,255
315,265
319,258
320,251
306,247
303,251
302,260
300,263
277,262
219,225
209,219
195,210
182,204
170,198
159,196
149,201
157,204
168,208
180,211
199,218
203,253
201,246
192,238
184,235
179,230
164,227
152,228
147,232
145,232
148,236
157,242
162,243
171,246
171,242
170,231
179,230
185,237
186,246
184,246
177,246
183,246
193,246
202,248
206,300
200,307
196,314
195,321
195,327
202,327
208,331
212,332
223,338
231,337
234,336
245,337
256,340
266,339
274,330
274,325
274,314
301,359
303,362
304,368
305,371
301,363
295,362
286,363
275,365
260,365
246,365
230,362
223,360
207,358
195,353
187,349
178,343
170,340
171,346
171,352
171,346
175,351
182,352
185,356
187,361
195,369
198,370
218,377
227,377
245,378
260,380
276,375
286,372
291,367
271,371
259,372
244,371
220,367
206,363
187,356
177,350
109,291
114,310
117,323
125,338
133,349
142,361
152,375
164,391
177,407
184,413
202,428
219,435
256,440
265,433
296,424
323,410
346,389
360,379
373,349
385,294
394,251
397,222
391,200
365,180
352,159
318,136
289,115
277,101
273,76
276,47
281,27
282,12
